id,diary_id,user_id,parent_comment_id,content_text,media_url,like_count,reply_count,status,created_at,updated_at
1,1,27,1,梧桐岭的现场感出来了，路滑和藤蔓那几段挺像亲身走过。,,2,0,1,2026/5/18 16:33,2026/5/18 16:33
2,2,162,1,悦美术馆的踩点记录挺实在，小场馆确实容易和预期有落差。,,1,0,1,2026/6/4 20:46,2026/6/4 20:46
3,3,59,3,北京金台艺术馆那段配着地图看更好，方位一下就明白了。,,0,0,1,2026/5/19 9:19,2026/5/19 9:19
4,4,102,3,阳平会馆戏楼这种地方就该写细节，比单纯打卡有用。,,1,0,1,2026/5/11 12:32,2026/5/11 12:32
5,5,163,5,广济寺半天行程听起来刚好，出发前看这种记录很省心。,,18,0,1,2026/4/11 19:44,2026/4/11 19:44
6,6,123,5,兰花文化休闲公园的提醒挺实际，不是只写好看的部分。,,2,0,1,2026/5/24 10:44,2026/5/24 10:44
7,7,53,7,中国传媒博物馆要是再补几张照片就更好参考了。,,1,0,1,2026/2/1 21:14,2026/2/1 21:14
8,8,181,7,朝阳剧场写得不长，但能看出作者没有强行夸。,,2,0,1,2026/6/2 13:54,2026/6/2 14:49
9,9,80,9,和敬公主府这类点容易被忽略，游记里写出来挺有价值。,,1,3,1,2026/5/21 3:21,2026/5/21 3:21
10,10,140,9,绮望楼如果再补一下入口位置，新手会更容易跟上。,,0,0,1,2026/2/22 20:08,2026/2/22 20:08
11,11,162,11,去北京孔庙前快速看一遍就够，能帮忙调整期待。,,0,2,1,2026/2/6 15:28,2026/2/6 15:28
12,12,11,11,国际露营公园评分高是有原因的，节奏安排看起来舒服。,,0,0,1,2026/5/3 19:34,2026/5/3 19:34
13,13,27,13,运河苑温泉水世界这种点很看季节，作者写午后体验挺有参考性。,,5,0,1,2026/4/8 20:26,2026/4/8 20:26
14,14,67,13,梨园剧场这条能帮第一次看演出的人建立心理预期。,,1,0,1,2026/3/24 12:26,2026/3/24 12:26
15,15,137,15,繁星戏剧村要是加上看完演出后的交通情况会更完整。,,1,0,1,2026/4/24 12:48,2026/4/24 12:48
16,16,37,15,大韵堂美术馆虽然写得不长，但能看出作者实际去过。,,6,0,1,2026/5/10 1:40,2026/5/14 17:54
17,17,76,17,东方梅地亚中心M剧场最好写清楚楼层和入口，现在信息还差一点。,,1,0,1,2026/2/5 2:07,2026/2/5 2:07
18,18,50,17,三羊古火山景区这篇让我想看看实景图，文字已经有画面感了。,,2,1,1,2026/5/23 16:20,2026/5/23 16:20
19,19,47,19,海豚湾婴幼儿水育馆这种目的地人群很明确，评论写得挺接地气。,,1,0,1,2026/4/1 12:28,2026/4/1 12:28
20,20,129,19,聚灵峡景区这篇对体力安排提醒到位，山路类地点不能只看距离。,,0,0,1,2026/4/10 10:23,2026/4/10 10:23
21,21,141,21,白浮泉湿地公园如果再写一下哪段拍照最好会更完整。,,1,0,1,2026/4/19 21:20,2026/4/19 21:20
22,22,152,21,斋堂城遗址这种地方看点分散，作者能记下细节已经很有帮助。,,1,0,1,2026/6/10 21:31,2026/6/10 21:45
23,23,24,23,养心殿评分高，说明体验确实不错，和故宫整体游线一起看更顺。,,2,0,1,2026/3/3 22:31,2026/3/3 22:31
24,24,33,23,松榆里公园像附近居民的反馈，不是旅游号那种口吻。,,3,0,1,2026/1/3 14:08,2026/1/3 14:08
25,25,164,25,昊天公园如果补上推荐入口，会对第一次去的人更友好。,,8,0,1,2026/1/16 14:58,2026/1/16 14:58
26,26,79,25,槐新公园评分高但内容不夸张，看起来反而可信。,,2,0,1,2026/5/7 21:33,2026/5/7 21:33
27,27,101,27,北京国际汽车露营公园对亲子或露营行程有参考价值。,,79,0,1,2026/5/16 11:20,2026/5/16 11:20
28,28,13,27,朝来农艺园可以放进周末采摘行程，目的性很明确。,,0,0,1,2026/1/20 11:46,2026/1/20 11:46
29,29,131,29,总理衙门写得挺稳，历史类地点就需要这种不浮夸的记录。,,3,0,1,2026/5/12 13:33,2026/5/12 14:30
30,30,137,29,轩辕台下午出发前看一眼就行，能判断要不要专门绕过去。,,9,0,1,2026/5/11 10:51,2026/5/11 11:24
31,31,170,31,四季青果林所如果再补季节信息，对真正去采摘的人更有帮助。,,3,0,1,2026/1/14 22:56,2026/1/15 12:52
32,32,100,31,东润鑫艺园这个点不算大众，能看到真实体验挺难得。,,1,0,1,2026/4/2 19:54,2026/4/2 19:54
33,33,149,33,朝来农艺园另一条更像散步记录，可以和前一条一起看。,,2,0,1,2026/4/2 18:59,2026/4/2 18:59
34,34,123,33,十三陵定陵能提前了解参观节奏，历史类景点不能太赶。,,0,0,1,2026/3/21 14:57,2026/3/21 14:57
35,35,117,35,泾县会馆旧址这种小众点最需要这种短游记，不然很难判断值不值得去。,,2,0,1,2026/2/9 18:19,2026/2/9 18:19
36,36,74,35,漪澜堂如果能补一张入口照片，会更方便第一次去的人。,,0,0,1,2026/2/25 13:17,2026/2/25 13:17
37,37,12,37,总理衙门两条角度不同，放在一起看信息更全。,,0,0,1,2026/2/10 0:30,2026/2/10 0:30
38,38,15,37,国子监街的记录对步行安排有帮助，街区类地点需要慢慢走。,,1,0,1,2026/5/30 14:48,2026/5/30 14:48
39,39,25,39,卧佛寺评分不算高，但文字里反而有不少实用提醒。,,2,0,1,2026/3/1 17:10,2026/3/1 17:10
40,40,101,39,太扬公园写得轻松，像附近居民的反馈。,,0,0,1,2026/4/21 18:31,2026/4/21 18:31
41,41,68,41,行程节奏写清楚了，看完大概知道怎么安排时间。,,1,0,1,2026/6/1 13:28,2026/6/1 13:28
42,42,177,41,作者没有只写优点，这种游记看起来更可信。,,2,0,1,2026/5/7 17:14,2026/5/7 17:14
43,43,175,43,后面能加上行程截图的话，参考价值会更高。,,7,0,1,2026/6/7 20:42,2026/6/7 20:42
44,44,118,43,出发前快速扫一眼这条记录，基本能决定要不要专门过去。,,0,0,1,2026/5/13 13:45,2026/5/13 13:45
45,45,49,45,文字不长但信息密度还可以，比空泛夸景点有用。,,1,0,1,2026/4/29 19:54,2026/4/29 19:54
46,46,82,45,这段记录和目的地评论互相补充，一个看整体，一个看个人感受。,,1,0,1,2026/5/7 9:20,2026/5/7 9:20
47,47,80,47,作者提到的细节很生活化，说明不是从介绍里复制来的。,,0,0,1,2026/6/12 21:02,2026/6/12 21:02
48,48,73,47,这样的日记可以多一点，对比官方简介更容易判断实际体验。,,0,0,1,2026/1/17 21:17,2026/1/17 21:17
49,49,58,49,底下如果有人问排队和交通，作者应该能补得上。,,0,0,1,2026/2/28 12:40,2026/2/28 12:40
50,50,137,49,标题和正文都挺明确，点进去之前就知道大概讲什么。,,5,0,1,2026/1/17 17:02,2026/1/17 17:02
51,51,93,51,看完能大概知道这个点适不适合自己，不需要再查很多资料。,,3,0,1,2026/6/6 12:12,2026/6/6 12:12
52,52,129,51,作者写得克制，但对安排行程反而有帮助。,,0,0,1,2026/4/3 19:39,2026/4/3 19:39
53,53,75,53,看完正文再看评论，能把当天实际走法拼得更完整。,,3,2,1,2026/5/24 20:08,2026/5/24 20:13
