id,destination_id,place_id,name,facility_type,description,address,tel,cover_url,lng,lat,status
,10,,24小时自助银行(小黄人乐园),bank,东六环入口与环球大道交叉口西北380米 | 营业时间:周一至周日 00:00-24:00,东六环入口与环球大道交叉口西北380米,,https://store.is.autonavi.com/showpic/14eac275b5a264d594eec8f0fe11f4cd,116.683899,39.854665,1
,10,,24小时自助银行(环球影城大酒店),bank,环球大道与停车场路交叉口北480米 | 营业时间:周一至周日 00:00-24:00,环球大道与停车场路交叉口北480米,,https://store.is.autonavi.com/showpic/44d2f7132dbae2e83613f295edf5832b,116.6796,39.853301,1
,10,,全聚德(北京环球城市大道店),canteen,北京环球度假区 | 营业时间:周一至周日 09:00-21:30 | 电话:19910293778,北京环球度假区,19910293778,https://store.is.autonavi.com/showpic/da2f06505a645da90000001013182876?type=pic,116.677233,39.851251,1
,10,,禾家中餐厅,canteen,"北京环球度假区 | 营业时间:周一至周日 05:30-10:00,11:30-14:30 | 电话:010-57326308",北京环球度假区,010-57326308,http://store.is.autonavi.com/showpic/54cb72a995c4cccfe439072cdc06f2ab,116.682226,39.850822,1
,10,,穿越·外婆家旗舰店,canteen,北京环球度假区 | 营业时间:周一至周日 09:30-21:30 | 电话:16619041691,北京环球度假区,16619041691,http://store.is.autonavi.com/query_pic?id=st59fb6d0a-48a0-477f-b3eb-f95cdffc5190&user=search&operate=original,116.677247,39.851609,1
,10,,环球影城大酒店,hotel,日出巷2号院 | 电话:4000688688,日出巷2号院,4000688688,https://store.is.autonavi.com/showpic/a4517cd681fa872db001b6fa01c9f7fe,116.678987,39.853636,1
,10,,诺金度假酒店,hotel,"日出巷1号院 | 电话:4000688688;4000688688,1",日出巷1号院,"4000688688;4000688688,1",https://store.is.autonavi.com/showpic/60ecfebd0a5e71cf70b875c7aa7c1c8a,116.682,39.851243,1
,10,,诺金度假酒店大堂,hotel,日出巷1号院诺金度假酒店 | 营业时间:周一至周日 00:00-24:00,日出巷1号院诺金度假酒店,,https://aos-comment.amap.com/B0ID7H1V66/comment/9ea239599743ff6d6a83250c97d259c1_2048_2048_80.jpg,116.68212,39.850827,1
,10,,环球影城大酒店-停车场(出入口),parking,环球影城大酒店,环球影城大酒店,,https://store.is.autonavi.com/showpic/4997487b9cb621dabfacff931120c54b,116.680793,39.852776,1
,10,,环球影城大酒店停车场,parking,北京环球度假区,北京环球度假区,,https://store.is.autonavi.com/showpic/71d8ad81f43d395a155b74370c1bc855,116.68004,39.852671,1
,10,,诺金度假酒店东停车场,parking,北京环球度假区 | 营业时间:周一至周日 00:00-24:00,北京环球度假区,,,116.684355,39.851009,1
,10,,诺金度假酒店北停车场(出入口),parking,诺金度假酒店,诺金度假酒店,,http://store.is.autonavi.com/showpic/527df0522bb758229a196463cb67fd6f,116.684409,39.851748,1
